NO,ASAL_KAB_KOTA_KEC,ASAL_ID_KANTOR,ASAL_KPRK,TUJUAN_KAB_KOTA_KEC,TUJUAN_ID_KANTOR,TUJUAN_KPRK,PAKET_POS_lebih2sd3Kg_Rp,PAKET_POS_perKg_Berikutnya_Rp,HALAMAN_PDF
126,Jakartapusat,10000,10000,Batam,29400,29400,26500.0,26500.0,8
729,Jakartabarat,11000,11000,Batam,29400,29400,26500.0,26500.0,41
1332,Jakartaselatan,12000,12000,Batam,29400,29400,26500.0,26500.0,75
1935,Jakartatimur,13000,13000,Batam,29400,29400,26500.0,26500.0,108
2538,Jakartautara,14000,14000,Batam,29400,29400,26500.0,26500.0,142
3141,Pulauseribu,14530,14000,Batam,29400,29400,36500.0,36500.0,175
3744,Tangerang,15000,15000,Batam,29400,29400,26500.0,26500.0,209
4347,Ciputat,15400,15400,Batam,29400,29400,26500.0,26500.0,242
4950,Balaraja,15610,15000,Batam,29400,29400,26500.0,26500.0,276
5553,Bogor,16000,16000,Batam,29400,29400,26500.0,26500.0,309
6156,Depok,16400,16400,Batam,29400,29400,26500.0,26500.0,343
6759,Ciampea,16620,16000,Batam,29400,29400,26500.0,26500.0,376
7362,Cibinong,16900,16900,Batam,29400,29400,26500.0,26500.0,410
7965,Bekasi,17000,17000,Batam,29400,29400,26500.0,26500.0,443
8568,Cikarang,17500,17500,Batam,29400,29400,26500.0,26500.0,477
9171,Babelan,17610,17000,Batam,29400,29400,26500.0,26500.0,510
9774,Medan,20000,20000,Batam,29400,29400,25000.0,25000.0,544
10377,Bandarbaru,20357,20000,Batam,29400,29400,27000.0,24000.0,577
10980,Tebingtinggideli,20600,20600,Batam,29400,29400,17500.0,17500.0,611
11583,Binjai,20700,20700,Batam,29400,29400,17500.0,17500.0,644
12186,Batangserangan,20883,20700,Batam,29400,29400,19500.0,19500.0,678
12789,Bandarkhalipah,20994,20600,Batam,29400,29400,19500.0,19500.0,711
13392,Pematangsianta r,21100,21100,Batam,29400,29400,17500.0,17500.0,745
13995,Bahjambi,21153,21100,Batam,29400,29400,19500.0,19500.0,778
14598,Kisaran,21200,21200,Batam,29400,29400,20000.0,20000.0,812
15201,Indrapura,21256,21200,Batam,29400,29400,22000.0,22000.0,845
15804,Tanjungbalai,21300,21200,Batam,29400,29400,22000.0,22000.0,879
16407,Rantauprapat,21400,21400,Batam,29400,29400,20000.0,20000.0,912
17010,Merbau,21452,21400,Batam,29400,29400,22000.0,22000.0,946
17613,Aekkanopan,21457,21400,Batam,29400,29400,22000.0,22000.0,979
18216,Kotapinang,21464,21400,Batam,29400,29400,22000.0,22000.0,1013
18819,Tanjungleidong,21475,21200,Batam,29400,29400,25000.0,25000.0,1046
19422,Kabanjahe,22100,22100,Batam,29400,29400,17500.0,17500.0,1080
20025,Bunturaja,22261,22100,Batam,29400,29400,22500.0,22500.0,1113
20628,Salak,22272,22100,Batam,29400,29400,22500.0,22500.0,1147
